Specimen ID,Sex,Family name,Latin Name,County,year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,mmcranialvolume,cranialvolume,total body length,bodylength,relativecc,tail length,hindfoot length
373,F,SORICIDAE,BLARINA BREVICAUDA,COOK,1922,0,12.1,6.82,12.73,1050.50506,1.05050506,127,12.7,0.082716934,27,14
389,F,SORICIDAE,BLARINA BREVICAUDA,COOK,1922,0,11.53,6.53,12.65,952.429885,0.952429885,124,12.4,0.076808862,26,21
393,M,SORICIDAE,BLARINA BREVICAUDA,COOK,1922,0,12.1,6.69,11.95,967.34055,0.96734055,113,11.3,0.085605358,26,16
397,M,SORICIDAE,BLARINA BREVICAUDA,COOK,1922,0,11.66,6.38,11.79,877.067532,0.877067532,125,12.5,0.070165403,27,16
652,F,SORICIDAE,BLARINA BREVICAUDA,COOK,1923,0,11.13,6.6,12.16,893.24928,0.89324928,110,11,0.08120448,21,14
715,F,SORICIDAE,BLARINA BREVICAUDA,WATONWAN,1912,0,12.04,6.24,12.36,928.601856,0.928601856,130,13,0.071430912,28,16
716,M,SORICIDAE,BLARINA BREVICAUDA,WINONA,1914,0,12.38,6.77,12.66,1061.067516,1.061067516,137,13.7,0.077450184,30,17
1060,M,SORICIDAE,BLARINA BREVICAUDA,RAMSEY,1925,1,12.82,7.03,13.51,1217.583346,1.217583346,133.4,13.34,0.091273114,25.4,15.9
1183,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,SWIFT,1936,0,12.52,6.93,13.52,1173.043872,1.173043872,134.6,13.46,0.087150362,30.5,17.8
1385,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,HENNEPIN,1939,1,12.24,6.99,13.78,1178.983728,1.178983728,127,12.7,0.092833364,25.4,19
2356,F,SORICIDAE,BLARINA BREVICAUDA,PIPESTONE,1947,0,12.34,7.08,13.48,1177.709856,1.177709856,131,13.1,0.089901516,26,15
2357,F,SORICIDAE,BLARINA BREVICAUDA,PIPESTONE,1947,0,12.19,6.78,12.21,1009.134522,1.009134522,119,11.9,0.08480122,33,16
2507,M,SORICIDAE,BLARINA BREVICAUDA,FILLMORE,1948,0,11.73,6.66,12.65,988.24077,0.98824077,117,11.7,0.084465023,20,15
2652,M,SORICIDAE,BLARINA BREVICAUDA,WASHINGTON,1949,1,12.5,7.06,13.54,1194.905,1.194905,119,11.9,0.100412185,31,16
2662,M,SORICIDAE,BLARINA BREVICAUDA,ROCK,1949,0,12.46,7.24,13.36,1205.210944,1.205210944,127,12.7,0.0948985,30,18
2699,M,SORICIDAE,BLARINA BREVICAUDA,WILKIN,1949,0,11.86,6.81,12.59,1016.851494,1.016851494,120,12,0.084737625,25,15
2781,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,LAKE OF THE WOODS,1949,0,12.02,7.13,12.78,1095.279228,1.095279228,115,11.5,0.095241672,25,15
2843,M,SORICIDAE,BLARINA BREVICAUDA,LAKE,1940,0,11.8,6.85,12.21,986.9343,0.9869343,110,11,0.0897213,21,15
2845,F,SORICIDAE,BLARINA BREVICAUDA,ITASCA,1938,0,12.13,6.73,12.15,991.864035,0.991864035,120.6,12.06,0.082244116,23.8,14.3
2847,M,SORICIDAE,BLARINA BREVICAUDA,MARTIN,1940,0,11.59,7.05,10.31,842.424945,0.842424945,125,12.5,0.067393996,25,16
2963,F,SORICIDAE,BLARINA BREVICAUDA,ST. LOUIS,1950,0,11.62,6.46,12.1,908.28892,0.90828892,111,11.1,0.081827831,25,16
2969,F,SORICIDAE,BLARINA BREVICAUDA,ST. LOUIS,1950,0,11.74,6.5,12.39,945.4809,0.9454809,119,11.9,0.079452176,25,16
3293,F,SORICIDAE,BLARINA BREVICAUDA,LINCOLN,1952,0,11.28,6.76,13.03,993.573984,0.993573984,118,11.8,0.084201185,25,16
3294,M,SORICIDAE,BLARINA BREVICAUDA,LINCOLN,1952,0,13.08,6.77,13.49,1194.561084,1.194561084,131,13.1,0.091187869,31,12
3689,F,SORICIDAE,BLARINA BREVICAUDA,ST. LOUIS,1954,0,11.77,6.54,12.5,962.1975,0.9621975,117,11.7,0.082239103,20,15
3779,M,SORICIDAE,BLARINA BREVICAUDA,KANDIYOHI,1955,0,11.83,6.74,12.92,1030.165864,1.030165864,128,12.8,0.080481708,22,15
4161,F,SORICIDAE,BLARINA BREVICAUDA,GOODHUE,1957,0,12.54,7.05,13.05,1153.71135,1.15371135,126,12.6,0.091564393,30,17
4167,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,HENNEPIN,1957,1,11.23,6.44,13.14,950.300568,0.950300568,131,13.1,0.072542028,30,16
4168,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,HENNEPIN,1958,1,11.35,6.87,13.32,1038.62034,1.03862034,128,12.8,0.081142214,30,16
